botNumber,percept,GONORTH,GOEAST,GOSOUTH,GOWEST,PICKUP
1,W_CC_,-4.585384763055056,0.008444833493068016,2.0035927980329884,2.0737317431154896,-0.5847076915474886
1,W____,-4.999919858151868,0.0022263450336152714,0.37542431527370496,1.5029506690522162e-14,-0.9345117179937376
1,WWC__,-4.586058225725665,-4.596077505977455,2.0033889199093182,0.08141452264590489,-0.5859014200010402
1,_WC_C,0.41482220781330986,-2.9167690133400406,2.0832447728152133,0.41635030865273326,10.400668504323658
1,_WC__,0.4006511527354063,-4.585219713476026,2.072777589699059,0.07662688040801396,-0.5970007370091515
1,WW___,-4.99986585777922,-4.986595921820873,1.2291868460841692e-07,1.054589286389068e-11,-0.9998533753351788
1,_WCCC,0.4165922185362764,-2.9169694878912527,2.0813262415144647,2.083216047744804,10.413777962243584
1,_C__C,0.4166562970950459,2.0830120501194607,0.4165292552420107,0.41601099312100487,10.41361146803407
1,_CC__,0.07759514894872718,2.074842971826247,2.021451729508554,0.11444313627193997,-0.5833888848963128
1,_____,0.0008668378880845235,1.4688667617853851e-09,0.0011749826436968378,0.011610070524558133,-0.99880546193633
1,_C___,0.10586447737265303,2.004293511019836,0.06750919300631009,0.41619333569148714,-0.5847242269120981
1,_C_C_,0.37991730856387584,2.0219610159638655,0.40155003927494387,2.001928101303192,-0.5976580348108644
1,C__C_,2.0039066328799278,0.4124954308770864,0.07649761694349126,2.0832870422682483,-0.583592969873303
1,C__CC,2.083257848129794,0.41556454222080547,0.4164253746469743,2.083267073017107,10.416460453745758
1,WCC_C,-2.9194862329416336,2.0812387707255353,2.08324007571156,0.4163169575576012,10.416156164918576
1,WC_CC,-2.9190542063796325,2.082590559740353,0.41618214614301235,2.08100662864657,10.402164616866077
1,W_CCC,-2.9167891208846783,0.41652548640711845,2.083220608553587,2.082713636694246,10.40357064915929
1,W_C__,-4.596887113119123,0.10780139647159714,2.007865172531319,0.4051006244286882,-0.5836131676702371
1,_W__C,0.4028619661373869,-2.999909074255999,0.40338056388542753,0.41525574316700986,10.069896373982884
1,CWCC_,2.008138483358354,-4.5851906793335475,1.8000023572165131,2.0828235354715,-0.5833179065561166
1,_CCC_,0.05190045576108043,2.002174251038236,2.002190583463358,2.004322707657502,-0.5956641516007456
1,__W_C,0.41518384053012103,0.4008446713214434,-2.9984855204012026,0.4005889547364047,10.01009044208082
1,CCC__,2.0027591248416936,2.0217276218729583,2.0202330322569235,0.10769458698107764,-0.5946983865549919
1,_C_CC,0.40567297546828734,2.0833035839280636,0.41494853835380174,2.083305150012122,10.413592116698103
1,CWCCC,0.5825602558101601,0,0.10489776271606206,2.0832627491284645,10.415298978141578
1,CWC_C,2.0815342658724365,-2.9172600502531845,2.0832330866945497,0.4148229275549231,10.416566411993744
1,_WCC_,0.10382121530389016,-4.584946680174154,2.0036491024689944,2.0198148072432804,-0.5836876546409702
1,_W___,4.3766157913561496e-09,-4.998954516766571,1.927937882469611e-09,0.11083593932674396,-0.9879441890762161
1,__C__,0.07535303925032456,0.38611118344470186,2.08083122722256,0.4149137160036183,-0.5837041467526799
1,WCCCC,-2.9371379924115066,1.8723718457915162,2.0598782033595318,2.060408697654828,10.416553281513401
1,WW_CC,-2.9196248420626683,-2.918777465998936,0.37434843593975614,2.0827759386029823,10.404503789351711
1,CW_C_,2.0001564093474404,-4.583747752151371,0.07267559277877458,2.0830980990736,-0.584915717975815
1,C_CCC,2.082905586527337,0.41624609159678344,2.083267237497062,2.081266191787745,10.416169756888207
1,WW_C_,-4.584757952187902,-4.586196867469453,0.07982251388502587,2.0016657948126833,-0.5974564612697041
1,_W_C_,0.00010989459723573431,-4.5966874951463135,0.3775043557587853,2.0810925980667756,-0.5834018186334738
1,WC___,-4.583667356556337,2.001962720651484,0.3817880193876226,0.04917511634139338,-0.5992543276989777
1,W___C,-2.986564651177673,0.40285844736456516,0.4162766362498756,0.4018195439661578,10.065606170670602
1,WCCC_,-4.582647664361344,2.002322692237814,2.0832625194874184,2.0092974297770714,-0.5832553679002321
1,WC__C,-2.916777274770281,2.081015457348934,0.4165084450638335,0.41549015617032203,10.400389363023702
1,WC_C_,-4.598395401468815,2.0761479675461154,0.07518504082229005,2.0004360331422943,-0.5970110853238121
1,WWCCC,-4.5,-4.5,0.3749888670223791,0.0,10.41399432591751
1,CW__C,2.0801844730468617,-2.916686512971629,0.4030201550385567,0.40552936836327436,10.4030843829033
1,WWC_C,-2.9171701200386297,-2.919882712191647,2.0824526451421845,0.4022235685134954,10.405212041706706
1,CC_C_,2.003597604811908,2.0829976277294304,0.3803616691936794,2.0049296643497945,-0.5845000847763422
1,CC_CC,2.0831064819086786,2.0832860814175502,0.4165453645651865,2.0813518285970494,10.416634449032491
1,C_CC_,2.004616330463426,0.4154617924152424,2.009716575615876,2.0009728006500405,-0.5855785201876664
1,___CC,0.41648366768784323,0.40223645187342905,0.41663168808757467,2.083240182925169,10.415364216553913
1,_CC_C,0.4146827816092633,2.0832336132855205,2.083301591121884,0.4033721284302361,10.416516856031802
1,C_C__,2.0807293297471325,0.10597063246496391,2.0080293581517177,0.10369231782802074,-0.5835341962703138
1,CC___,2.0045441598782587,2.0215528806231546,0.41326453991741263,0.38587091460057216,-0.5833419689682596
1,CCCC_,2.002044061530001,2.0104429893749796,2.0095635359295985,2.0769962439894245,-0.5835076269036973
1,__CCC,0.40290500362359233,0.41529401506878794,2.0809025356580433,2.080855111833926,10.41663327461716
1,W__CC,-2.917241555546611,0.41492207970869566,0.4166567715679571,2.083242610306411,10.400886515708443
